BRANCH_NUMBER,BRANCH_CODE,OPENING_TIME,CLOSING_TIME
1001,LEO,7:30:00,17:00:00
1002,BAM,8:00:00,17:00:00
1003,FRE,7:30:00,17:00:00
1004,GKI,8:00:00,17:00:00
1005,KIR,8:00:00,17:30:00
1006,LIE,8:00:00,17:00:00
1007,STE,7:30:00,17:30:00
1008,VOE,8:00:00,17:00:00
1009,WBG,8:00:00,17:00:00
1010,WYB,8:00:00,17:00:00
1011,LIN,8:00:00,16:30:00
1012,OTT,7:30:00,18:00:00
1013,W23,7:30:00,17:30:00
1014,MBF,7:30:00,17:00:00
1015,EIS,7:30:00,17:00:00
1016,GRA,8:00:00,17:00:00
1017,GRB,8:00:00,17:00:00
1018,STP,8:00:00,17:30:00
1019,TUL,7:30:00,17:00:00
1020,W15,8:00:00,17:00:00
1021,W21,7:30:00,17:30:00
1022,MWI,8:00:00,17:00:00
1023,WTH,8:00:00,17:00:00
1024,SBG,8:00:00,17:00:00
1025,BRA,8:00:00,17:00:00
1026,HAR,8:00:00,17:00:00
1027,KLA,8:00:00,17:00:00
1028,IBK,8:00:00,17:00:00
1029,STJ,8:00:00,17:00:00
1030,VIL,8:00:00,17:00:00
1031,WOE,8:00:00,17:00:00
1032,WOL,8:00:00,17:00:00
