BRANCH_NUMBER,BRANCH_CODE,OPENING_TIME,CLOSING_TIME
2000,OEN,8:00:00,18:00:00
2111,TBR,8:00:00,18:00:00
2123,TLT,8:00:00,18:00:00
2211,KWCH,8:00:00,18:00:00
2415,TNY,8:00:00,18:00:00
2417,TRO,8:00:00,18:00:00
2418,FR,8:00:00,18:00:00
2422,MA,8:00:00,18:00:00
2501,KPDI,8:00:00,18:00:00
2511,CM,8:00:00,18:00:00
2516,RU,8:00:00,18:00:00
2521,TAL,8:00:00,18:00:00
2522,ZA,8:00:00,18:00:00
2421,SIO,8:00:00,18:00:00
2002,VOEN,8:00:00,18:00:00
2122,SOL,8:00:00,18:00:00
2125,THS,8:00:00,18:00:00
2201,OS,8:00:00,18:00:00
2213,TSG,8:00:00,18:00:00
2310,BZ,8:00:00,18:00:00
2311,TGI,8:00:00,18:00:00
2510,BD,8:00:00,18:00:00
2515,SH,8:00:00,18:00:00
2518,TWT,8:00:00,18:00:00
2001,VKAL,8:00:00,18:00:00
2112,DEL,8:00:00,18:00:00
2115,BE,8:00:00,18:00:00
2119,TTH,8:00:00,18:00:00
2126,LU,8:00:00,18:00:00
2212,WF,8:00:00,18:00:00
2215,WIL,8:00:00,18:00:00
2401,KWET,8:00:00,18:00:00
2413,KWVE,8:00:00,18:00:00
2420,SI,8:00:00,18:00:00
2514,BUL,8:00:00,18:00:00
2519,TWE,8:00:00,18:00:00
2520,JO,8:00:00,18:00:00
2110,NIB,8:00:00,18:00:00
2117,BUR,8:00:00,18:00:00
2120,TBS,8:00:00,18:00:00
2128,LA,8:00:00,18:00:00
2412,GE,8:00:00,18:00:00
2416,YVE,8:00:00,18:00:00
2513,ZO,8:00:00,18:00:00
2113,MBE,8:00:00,18:00:00
2114,KPBE,8:00:00,18:00:00
2124,AA,8:00:00,18:00:00
2214,TGA,8:00:00,18:00:00
2301,KWTI,8:00:00,18:00:00
2312,LG,8:00:00,18:00:00
2411,LS,8:00:00,18:00:00
2419,COL,8:00:00,18:00:00
2512,ZAO,8:00:00,18:00:00
