CUSTOMER,INVENTLOCATIONID,ROUTECONFIGNAME
1,2125,2125_17_0800
1,2125,2125_17_1000
1,2125,2125_17_1345
1,2125,2125_17_1400
1,2125,2125_17_1545
1,2125,2125_17_1700
1,2125,2125_17_1800
1,2125,2125_17_1900
1,2125,2125_17_2000
10,2312,2312_30_0830
10,2312,2312_30_1015
10,2312,2312_30_1400
10,2312,2312_30_1530
1000,2201,2201_41_0820
1000,2201,2201_42_1015
1000,2201,2201_43_1350
1000,2201,2201_44_1535
1000,2201,2201_44_1700
1000,2201,2201_44_1800
1000,2201,2201_44_1900
1000,2201,2201_44_2000
10000,2125,2125_18_0800
10000,2125,2125_18_1000
10000,2125,2125_18_1345
10000,2125,2125_18_1400
10000,2125,2125_18_1545
10000,2125,2125_18_1700
10000,2125,2125_18_1800
10000,2125,2125_18_1900
10000,2125,2125_18_2000
10002,2110,2110_30_0800
10002,2110,2110_30_1000
10002,2110,2110_30_1330
10002,2110,2110_30_1430
10002,2110,2110_30_1530
10002,2110,2110_30_1700
10002,2110,2110_30_1800
10002,2110,2110_30_1900
10002,2110,2110_30_2000
10002,2110,2110_40_0925
10003,2110,2110_30_0800
10003,2110,2110_30_1000
10003,2110,2110_30_1330
10003,2110,2110_30_1430
10003,2110,2110_30_1530
10003,2110,2110_30_1700
10003,2110,2110_30_1800
10003,2110,2110_30_1900
10003,2110,2110_30_2000
10006,2110,2110_30_0800
10006,2110,2110_30_1000
10006,2110,2110_30_1330
10006,2110,2110_30_1430
10006,2110,2110_30_1530
10006,2110,2110_30_1700
10006,2110,2110_30_1800
10006,2110,2110_30_1900
10006,2110,2110_30_2000
100072,2128,2128_10_0700
100072,2128,2128_10_0800
100072,2128,2128_10_1000
100072,2128,2128_10_1330
100072,2128,2128_10_1415
100072,2128,2128_10_1530
100072,2128,2128_10_1700
100072,2128,2128_10_1800
100072,2128,2128_10_1900
100072,2128,2128_10_2000
10008,2126,2126_02_1010
10008,2126,2126_02_1410
10008,2126,2126_02_1700
10008,2126,2126_02_1800
10008,2126,2126_02_1900
10008,2126,2126_02_2000
10011,2115,2115_20_0800
10011,2115,2115_20_1000
10011,2115,2115_20_1350
10011,2115,2115_20_1550
10011,2115,2115_20_1700
10011,2115,2115_20_1800
10011,2115,2115_20_1900
10011,2115,2115_20_2000
100147,2211,2211_71_0730
100147,2211,2211_72_0900
100147,2211,2211_73_1020
100147,2211,2211_74_1420
100147,2211,2211_75_1600
100154,2115,2115_30_0800
100154,2115,2115_30_1000
100154,2115,2115_30_1350
100154,2115,2115_30_1700
100154,2115,2115_30_1800
100154,2115,2115_30_1900
100154,2115,2115_30_2000
100156,2401,2401_13_1030
100156,2401,2401_21_0645
100156,2401,2401_21_0930
100156,2401,2401_21_1310
100156,2401,2401_21_1400
100156,2401,2401_21_1455
100156,2401,2401_21_1700
100156,2401,2401_21_1800
100156,2401,2401_21_1900
100156,2401,2401_21_2000
100159,2125,2125_17_0800
100159,2125,2125_17_1000
100159,2125,2125_17_1345
100159,2125,2125_17_1400
100159,2125,2125_17_1545
100159,2125,2125_17_1700
100159,2125,2125_17_1800
100159,2125,2125_17_1900
100159,2125,2125_17_2000
100166,2211,2211_31_0600
100166,2211,2211_32_0900
10018,2119,2119_12_1535
10018,2119,2119_12_1700
10018,2119,2119_12_1800
10018,2119,2119_12_1900
10018,2119,2119_12_2000
10018,2119,2119_94_0630
10018,2119,2119_94_0900
10018,2119,2119_94_1030
10018,2119,2119_94_1400
10018,2119,2119_94_1700
10018,2119,2119_94_1800
10018,2119,2119_94_1900
10018,2119,2119_94_2000
10019,2119,2119_10_0845
10019,2119,2119_10_1400
10019,2119,2119_10_1700
10019,2119,2119_10_1800
10019,2119,2119_10_1900
10019,2119,2119_10_2000
10019,2119,2119_11_1030
10019,2119,2119_11_1700
10019,2119,2119_11_1800
10019,2119,2119_11_1900
10019,2119,2119_11_2000
10019,2119,2119_12_1535
10019,2119,2119_12_1700
10019,2119,2119_12_1800
10019,2119,2119_12_1900
10019,2119,2119_12_2000
10019,2119,2119_94_0630
1002,2201,2201_31_0820
1002,2201,2201_32_1015
1002,2201,2201_33_1300
1002,2201,2201_34_1520
1002,2201,2201_34_1700
1002,2201,2201_34_1800
1002,2201,2201_34_1900
1002,2201,2201_34_2000
1002,2201,2201_41_0820
1002,2201,2201_42_1015
1002,2201,2201_43_1350
1002,2201,2201_44_1535
1002,2201,2201_44_1700
1002,2201,2201_44_1800
1002,2201,2201_44_1900
1002,2201,2201_44_2000
1002,2201,2201_51_0820
1002,2201,2201_52_1010
1002,2201,2201_53_1235
1002,2201,2201_54_1500
1002,2201,2201_54_1700
1002,2201,2201_54_1800
1002,2201,2201_54_1900
1002,2201,2201_54_2000
10020,2519,2519_10_0745
10020,2519,2519_10_0930
10020,2519,2519_10_1045
10020,2519,2519_10_1330
10020,2519,2519_10_1450
10020,2519,2519_10_1600
10020,2519,2519_10_1700
10020,2519,2519_10_1800
10020,2519,2519_10_1900
10020,2519,2519_10_2000
10022,2519,2519_10_0745
10022,2519,2519_10_0930
10022,2519,2519_10_1045
10022,2519,2519_10_1330
10022,2519,2519_10_1450
10022,2519,2519_10_1600
10022,2519,2519_10_1700
10022,2519,2519_10_1800
10022,2519,2519_10_1900
10022,2519,2519_10_2000
1003,2201,2201_41_0820
1003,2201,2201_42_1015
1003,2201,2201_43_1350
1003,2201,2201_44_1535
1003,2201,2201_44_1700
1003,2201,2201_44_1800
1003,2201,2201_44_1900
1003,2201,2201_44_2000
10031,2519,2519_10_0745
10031,2519,2519_10_0930
10031,2519,2519_10_1045
10031,2519,2519_10_1330
10031,2519,2519_10_1450
10031,2519,2519_10_1600
10031,2519,2519_10_1700
10031,2519,2519_10_1800
10031,2519,2519_10_1900
10031,2519,2519_10_2000
10032,2518,2518_60_0745
10032,2518,2518_60_0915
10032,2518,2518_60_1030
10032,2518,2518_60_1330
10032,2518,2518_60_1500
10032,2518,2518_60_1525
10032,2518,2518_60_1700
10032,2518,2518_60_1800
10032,2518,2518_60_1900
10032,2518,2518_60_2000
10034,2212,2212_31_0820
10034,2212,2212_32_1020
10034,2212,2212_33_1325
10034,2212,2212_34_1520
10034,2212,2212_34_1700
10034,2212,2212_34_1800
10034,2212,2212_34_1900
10034,2212,2212_34_2000
10039,2212,2212_31_0820
10039,2212,2212_32_1020
10039,2212,2212_33_1325
10039,2212,2212_34_1520
10039,2212,2212_34_1700
10039,2212,2212_34_1800
10039,2212,2212_34_1900
10039,2212,2212_34_2000
10041,2212,2212_31_0820
10041,2212,2212_32_1020
10041,2212,2212_33_1325
10041,2212,2212_34_1520
10041,2212,2212_34_1700
10041,2212,2212_34_1800
10041,2212,2212_34_1900
10041,2212,2212_34_2000
10044,2119,2119_90_0845
10044,2119,2119_90_1400
10044,2119,2119_90_1700
10044,2119,2119_90_1800
10044,2119,2119_90_1900
10044,2119,2119_90_2000
10044,2119,2119_92_0630
10044,2119,2119_92_1700
10044,2119,2119_92_1800
10044,2119,2119_92_1900
10044,2119,2119_92_2000
10049,2119,2119_90_0845
10049,2119,2119_90_1400
10049,2119,2119_90_1700
10049,2119,2119_90_1800
10049,2119,2119_90_1900
10049,2119,2119_90_2000
100491,2510,2510_20_0800
100491,2510,2510_20_1000
100491,2510,2510_20_1330
100491,2510,2510_20_1530
100491,2510,2510_20_1700
100491,2510,2510_20_1800
100491,2510,2510_20_1900
100491,2510,2510_20_2000
100493,2514,2514_20_0800
100493,2514,2514_20_0945
100493,2514,2514_20_1105
100493,2514,2514_20_1345
100493,2514,2514_20_1520
100493,2514,2514_20_1700
100493,2514,2514_20_1800
100493,2514,2514_20_1900
100493,2514,2514_20_2000
100495,2511,2511_40_0805
100495,2511,2511_40_1005
100495,2511,2511_40_1315
100495,2511,2511_40_1515
100495,2511,2511_40_1700
100495,2511,2511_40_1800
100495,2511,2511_40_1900
100495,2511,2511_40_2000
100496,2212,2212_41_0820
100496,2212,2212_42_1020
100496,2212,2212_43_1325
100496,2212,2212_44_1520
100496,2212,2212_44_1700
100496,2212,2212_44_1800
100496,2212,2212_44_1900
100496,2212,2212_44_2000
1005,2201,2201_41_0820
1005,2201,2201_42_1015
1005,2201,2201_43_1350
1005,2201,2201_44_1535
1005,2201,2201_44_1700
1005,2201,2201_44_1800
1005,2201,2201_44_1900
1005,2201,2201_44_2000
100514,2122,2122_10_0820
100514,2122,2122_10_1010
100514,2122,2122_10_1400
100514,2122,2122_10_1545
100514,2122,2122_10_1700
100514,2122,2122_10_1800
100514,2122,2122_10_1900
100514,2122,2122_10_2000
10053,2119,2119_90_0845
10053,2119,2119_90_1400
10053,2119,2119_90_1700
10053,2119,2119_90_1800
10053,2119,2119_90_1900
10053,2119,2119_90_2000
10053,2119,2119_92_0630
10053,2119,2119_92_1700
10053,2119,2119_92_1800
10053,2119,2119_92_1900
10053,2119,2119_92_2000
10056,2119,2119_90_0845
10056,2119,2119_90_1400
10056,2119,2119_90_1700
10056,2119,2119_90_1800
10056,2119,2119_90_1900
10056,2119,2119_90_2000
10056,2119,2119_92_0630
10056,2119,2119_92_1700
10056,2119,2119_92_1800
10056,2119,2119_92_1900
10056,2119,2119_92_2000
100589,2119,2119_70_0845
100589,2119,2119_70_1400
100589,2119,2119_70_1700
100589,2119,2119_70_1800
100589,2119,2119_70_1900
100589,2119,2119_70_2000
100589,2119,2119_92_0630
100589,2119,2119_92_1700
100589,2119,2119_92_1800
100589,2119,2119_92_1900
100589,2119,2119_92_2000
100590,2501,2501_50_0800
100590,2501,2501_50_0920
100590,2501,2501_50_1050
100590,2501,2501_50_1330
100590,2501,2501_50_1450
100590,2501,2501_50_1600
100590,2501,2501_50_1700
100590,2501,2501_50_1800
100590,2501,2501_50_1900
100590,2501,2501_50_2000
1006,2201,2201_41_0820
1006,2201,2201_42_1015
1006,2201,2201_43_1350
1006,2201,2201_44_1535
1006,2201,2201_44_1700
1006,2201,2201_44_1800
1006,2201,2201_44_1900
1006,2201,2201_44_2000
10060,2119,2119_90_0845
10060,2119,2119_90_1400
10060,2119,2119_90_1700
10060,2119,2119_90_1800
10060,2119,2119_90_1900
10060,2119,2119_90_2000
10060,2119,2119_92_0630
10060,2119,2119_92_1700
10060,2119,2119_92_1800
10060,2119,2119_92_1900
10060,2119,2119_92_2000
100608,2117,2117_20_0730
100608,2117,2117_20_0925
100608,2117,2117_20_1410
100608,2117,2117_20_1700
100608,2117,2117_20_1800
100608,2117,2117_20_1900
100608,2117,2117_20_2000
10065,2119,2119_93_0630
10065,2119,2119_93_0900
10065,2119,2119_93_1100
10065,2119,2119_93_1400
10065,2119,2119_93_1700
10065,2119,2119_93_1800
10065,2119,2119_93_1900
10065,2119,2119_93_2000
100684,2419,2419_20_0645
100684,2419,2419_20_0845
100684,2419,2419_20_1000
100684,2419,2419_20_1330
100684,2419,2419_20_1515
100684,2419,2419_20_1700
100684,2419,2419_20_1800
100684,2419,2419_20_1900
100684,2419,2419_20_2000
100686,2214,2214_92_1540
100686,2215,2215_41_0830
100686,2215,2215_42_1030
100686,2215,2215_43_1350
10069,2214,2214_11_0830
10069,2214,2214_12_1030
10069,2214,2214_13_1400
10069,2214,2214_14_1545
10069,2214,2214_14_1700
10069,2214,2214_14_1800
10069,2214,2214_14_1900
10069,2214,2214_14_2000
10074,2518,2518_40_0745
10074,2518,2518_40_0915
10074,2518,2518_40_1030
10074,2518,2518_40_1330
10074,2518,2518_40_1500
10074,2518,2518_40_1525
10074,2518,2518_40_1700
10074,2518,2518_40_1700
10074,2518,2518_40_1800
10074,2518,2518_40_1900
10074,2518,2518_40_2000
10075,2518,2518_40_0745
10075,2518,2518_40_0915
10075,2518,2518_40_1030
10075,2518,2518_40_1330
10075,2518,2518_40_1500
10075,2518,2518_40_1525
10075,2518,2518_40_1700
10075,2518,2518_40_1700
10075,2518,2518_40_1800
10075,2518,2518_40_1900
10075,2518,2518_40_2000
10076,2110,2110_30_0800
10076,2110,2110_30_1000
10076,2110,2110_30_1330
10076,2110,2110_30_1430
10076,2110,2110_30_1530
10076,2110,2110_30_1700
10076,2110,2110_30_1800
10076,2110,2110_30_1900
10076,2110,2110_30_2000
10079,2110,2110_30_0800
10079,2110,2110_30_1000
10079,2110,2110_30_1330
10079,2110,2110_30_1430
10079,2110,2110_30_1530
10079,2110,2110_30_1700
10079,2110,2110_30_1800
10079,2110,2110_30_1900
10079,2110,2110_30_2000
10083,2110,2110_30_0800
10083,2110,2110_30_1000
10083,2110,2110_30_1330
10083,2110,2110_30_1430
10083,2110,2110_30_1530
10083,2110,2110_30_1700
10083,2110,2110_30_1800
10083,2110,2110_30_1900
10083,2110,2110_30_2000
10085,2110,2110_30_0800
10085,2110,2110_30_1000
10085,2110,2110_30_1330
10085,2110,2110_30_1430
10085,2110,2110_30_1530
10085,2110,2110_30_1700
10085,2110,2110_30_1800
10085,2110,2110_30_1900
10085,2110,2110_30_2000
10087,2110,2110_30_0800
10087,2110,2110_30_1000
10087,2110,2110_30_1330
10087,2110,2110_30_1430
10087,2110,2110_30_1530
10087,2110,2110_30_1700
10087,2110,2110_30_1800
10087,2110,2110_30_1900
10087,2110,2110_30_2000
10087,2115,2115_51_1550
10087,2115,2115_51_1700
10087,2115,2115_51_1800
10087,2115,2115_51_1900
10087,2115,2115_51_2000
10088,2110,2110_30_0800
10088,2110,2110_30_1000
10088,2110,2110_30_1330
10088,2110,2110_30_1430
10088,2110,2110_30_1530
10088,2110,2110_30_1700
10088,2110,2110_30_1800
10088,2110,2110_30_1900
10088,2110,2110_30_2000
1009,2201,2201_41_0820
1009,2201,2201_42_1015
1009,2201,2201_43_1350
1009,2201,2201_44_1535
1009,2201,2201_44_1700
1009,2201,2201_44_1800
1009,2201,2201_44_1900
1009,2201,2201_44_2000
10092,2110,2110_30_0800
10092,2110,2110_30_1000
10092,2110,2110_30_1330
10092,2110,2110_30_1430
10092,2110,2110_30_1530
10092,2110,2110_30_1700
10092,2110,2110_30_1800
10092,2110,2110_30_1900
10092,2110,2110_30_2000
10095,2110,2110_30_0800
10095,2110,2110_30_1000
10095,2110,2110_30_1330
10095,2110,2110_30_1430
10095,2110,2110_30_1530
10095,2110,2110_30_1700
10095,2110,2110_30_1800
10095,2110,2110_30_1900
10095,2110,2110_30_2000
10098,2511,2511_50_0805
10098,2511,2511_50_1005
10098,2511,2511_50_1315
10098,2511,2511_50_1515
10098,2511,2511_50_1700
10098,2511,2511_50_1800
10098,2511,2511_50_1900
10098,2511,2511_50_2000
1010,2201,2201_41_0820
1010,2201,2201_42_1015
1010,2201,2201_43_1350
1010,2201,2201_44_1535
1010,2201,2201_44_1700
1010,2201,2201_44_1800
1010,2201,2201_44_1900
1010,2201,2201_44_2000
10101,2125,2125_14_0800
10101,2125,2125_14_1000
10101,2125,2125_14_1345
10101,2125,2125_14_1400
10101,2125,2125_14_1545
10101,2125,2125_14_1700
10101,2125,2125_14_1800
10101,2125,2125_14_1900
10101,2125,2125_14_2000
101032,2401,2401_25_0640
101032,2401,2401_25_0845
101032,2401,2401_25_1030
101032,2401,2401_25_1315
101032,2401,2401_25_1400
101032,2401,2401_25_1455
101032,2401,2401_25_1700
101032,2401,2401_25_1800
101032,2401,2401_25_1900
101032,2401,2401_25_2000
10104,2125,2125_14_0800
10104,2125,2125_14_1000
10104,2125,2125_14_1345
10104,2125,2125_14_1400
10104,2125,2125_14_1545
10104,2125,2125_14_1700
10104,2125,2125_14_1800
